HRR,Time_Period,Total_Hospital_Beds,Available_Hospital_Beds,Hospital_Beds_Needed,Total_ICU_Beds,Available_ICU_Beds,ICU_Beds_Needed,Bed_Occupancy_Rate,ICU_Occupancy_Rate
"Abilene, TX",6 Months,980,565,638,127,68,139,65.10204082,109.4488189
"Abilene, TX",12 Months,980,565,319,127,68,70,32.55102041,55.11811024
"Abilene, TX",18 Months,980,565,208,127,68,45,21.2244898,35.43307087
"Akron, OH",6 Months,1358,518,1529,186,94,331,112.5920471,177.9569892
"Akron, OH",12 Months,1358,518,764,186,94,165,56.25920471,88.70967742
"Akron, OH",18 Months,1358,518,499,186,94,108,36.74521355,58.06451613
"Alameda County, CA",6 Months,2695,665,3591,293,139,760,133.2467532,259.3856655
"Alameda County, CA",12 Months,2695,665,1796,293,139,380,66.6419295,129.6928328
"Alameda County, CA",18 Months,2695,665,1171,293,139,248,43.45083488,84.64163823
"Albany, GA",6 Months,704,221,437,60,27,94,62.07386364,156.6666667
"Albany, GA",12 Months,704,221,218,60,27,47,30.96590909,78.33333333
"Albany, GA",18 Months,704,221,142,60,27,31,20.17045455,51.66666667
"Albany, NY",6 Months,4804,1579,4147,425,193,903,86.32389675,212.4705882
"Albany, NY",12 Months,4804,1579,2074,425,193,452,43.17235637,106.3529412
"Albany, NY",18 Months,4804,1579,1352,425,193,294,28.14321399,69.17647059
"Albuquerque, NM",6 Months,2908,1102,3741,380,161,812,128.6451169,213.6842105
"Albuquerque, NM",12 Months,2908,1102,1870,380,161,406,64.30536451,106.8421053
"Albuquerque, NM",18 Months,2908,1102,1220,380,161,265,41.95323246,69.73684211
"Alexandria, LA",6 Months,917,402,618,43,20,133,67.39367503,309.3023256
"Alexandria, LA",12 Months,917,402,309,43,20,67,33.69683751,155.8139535
"Alexandria, LA",18 Months,917,402,201,43,20,44,21.91930207,102.3255814
"Allentown, PA",6 Months,3267,1267,2696,334,143,587,82.52219161,175.748503
"Allentown, PA",12 Months,3267,1267,1348,334,143,294,41.26109581,88.0239521
"Allentown, PA",18 Months,3267,1267,879,334,143,191,26.90541781,57.18562874
"Altoona, PA",6 Months,555,234,666,61,27,147,120,240.9836066
"Altoona, PA",12 Months,555,234,333,61,27,73,60,119.6721311
"Altoona, PA",18 Months,555,234,217,61,27,48,39.0990991,78.68852459
"Amarillo, TX",6 Months,1236,678,920,194,79,197,74.43365696,101.5463918
"Amarillo, TX",12 Months,1236,678,460,194,79,98,37.21682848,50.51546392
"Amarillo, TX",18 Months,1236,678,300,194,79,64,24.27184466,32.98969072
"Anchorage, AK",6 Months,1583,533,1492,130,55,310,94.25142135,238.4615385
"Anchorage, AK",12 Months,1583,533,746,130,55,155,47.12571068,119.2307692
"Anchorage, AK",18 Months,1583,533,487,130,55,101,30.76437145,77.69230769
"Ann Arbor, MI",6 Months,3014,876,3091,406,122,663,102.5547445,163.3004926
"Ann Arbor, MI",12 Months,3014,876,1546,406,122,331,51.29396151,81.5270936
"Ann Arbor, MI",18 Months,3014,876,1008,406,122,216,33.44392833,53.20197044
"Appleton, WI",6 Months,448,222,711,72,37,154,158.7053571,213.8888889
"Appleton, WI",12 Months,448,222,356,72,37,77,79.46428571,106.9444444
"Appleton, WI",18 Months,448,222,232,72,37,50,51.78571429,69.44444444
"Arlington, VA",6 Months,3116,995,5180,450,173,1082,166.2387677,240.4444444
"Arlington, VA",12 Months,3116,995,2590,450,173,541,83.11938383,120.2222222
"Arlington, VA",18 Months,3116,995,1689,450,173,353,54.20410783,78.44444444
"Asheville, NC",6 Months,1541,556,1587,232,76,354,102.9850746,152.5862069
"Asheville, NC",12 Months,1541,556,793,232,76,177,51.46009085,76.29310345
"Asheville, NC",18 Months,1541,556,517,232,76,116,33.54964309,50
"Atlanta, GA",6 Months,12780,3338,13748,1621,436,2901,107.5743349,178.9636027
"Atlanta, GA",12 Months,12780,3338,6874,1621,436,1450,53.78716745,89.4509562
"Atlanta, GA",18 Months,12780,3338,4483,1621,436,946,35.07824726,58.35903763
"Augusta, GA",6 Months,2194,831,1502,349,106,324,68.45943482,92.83667622
"Augusta, GA",12 Months,2194,831,751,349,106,162,34.22971741,46.41833811
"Augusta, GA",18 Months,2194,831,490,349,106,106,22.33363719,30.37249284
"Aurora, IL",6 Months,527,286,665,55,25,139,126.1859583,252.7272727
"Aurora, IL",12 Months,527,286,333,55,25,69,63.18785579,125.4545455
"Aurora, IL",18 Months,527,286,217,55,25,45,41.17647059,81.81818182
"Austin, TX",6 Months,2775,1003,4123,393,161,859,148.5765766,218.5750636
"Austin, TX",12 Months,2775,1003,2062,393,161,429,74.30630631,109.1603053
"Austin, TX",18 Months,2775,1003,1345,393,161,280,48.46846847,71.24681934
"Bakersfield, CA",6 Months,2429,692,2302,191,88,482,94.77151091,252.3560209
"Bakersfield, CA",12 Months,2429,692,1151,191,88,241,47.38575545,126.1780105
"Bakersfield, CA",18 Months,2429,692,751,191,88,157,30.91807328,82.19895288
"Baltimore, MD",6 Months,6931,1887,5586,844,303,1198,80.59443082,141.943128
"Baltimore, MD",12 Months,6931,1887,2793,844,303,599,40.29721541,70.97156398
"Baltimore, MD",18 Months,6931,1887,1821,844,303,391,26.27326504,46.32701422
"Bangor, ME",6 Months,1094,400,906,100,28,200,82.81535649,200
"Bangor, ME",12 Months,1094,400,453,100,28,100,41.40767824,100
"Bangor, ME",18 Months,1094,400,295,100,28,65,26.96526508,65
"Baton Rouge, LA",6 Months,2898,1159,2053,249,119,436,70.84195997,175.1004016
"Baton Rouge, LA",12 Months,2898,1159,1026,249,119,218,35.40372671,87.5502008
"Baton Rouge, LA",18 Months,2898,1159,669,249,119,142,23.08488613,57.02811245
"Beaumont, TX",6 Months,908,421,992,114,43,214,109.2511013,187.7192982
"Beaumont, TX",12 Months,908,421,496,114,43,107,54.62555066,93.85964912
"Beaumont, TX",18 Months,908,421,324,114,43,70,35.68281938,61.40350877
"Bend, OR",6 Months,415,182,541,38,17,120,130.3614458,315.7894737
"Bend, OR",12 Months,415,182,270,38,17,60,65.06024096,157.8947368
"Bend, OR",18 Months,415,182,176,38,17,39,42.40963855,102.6315789
"Billings, MT",6 Months,2432,931,1331,148,65,288,54.72861842,194.5945946
"Billings, MT",12 Months,2432,931,665,148,65,144,27.34375,97.2972973
"Billings, MT",18 Months,2432,931,434,148,65,94,17.84539474,63.51351351
"Binghamton, NY",6 Months,1005,365,810,54,17,178,80.59701493,329.6296296
"Binghamton, NY",12 Months,1005,365,405,54,17,89,40.29850746,164.8148148
"Binghamton, NY",18 Months,1005,365,264,54,17,58,26.26865672,107.4074074
"Birmingham, AL",6 Months,7297,2756,4958,991,342,1074,67.94573112,108.3753784
"Birmingham, AL",12 Months,7297,2756,2479,991,342,537,33.97286556,54.1876892
"Birmingham, AL",18 Months,7297,2756,1617,991,342,350,22.1597917,35.31786075
"Bismarck, ND",6 Months,970,422,512,80,43,111,52.78350515,138.75
"Bismarck, ND",12 Months,970,422,256,80,43,56,26.39175258,70
"Bismarck, ND",18 Months,970,422,167,80,43,36,17.21649485,45
"Bloomington, IL",6 Months,394,201,440,35,10,93,111.6751269,265.7142857
"Bloomington, IL",12 Months,394,201,220,35,10,46,55.83756345,131.4285714
"Bloomington, IL",18 Months,394,201,144,35,10,30,36.54822335,85.71428571
"Blue Island, IL",6 Months,2053,583,1870,308,118,404,91.08621529,131.1688312
"Blue Island, IL",12 Months,2053,583,935,308,118,202,45.54310765,65.58441558
"Blue Island, IL",18 Months,2053,583,610,308,118,132,29.71261568,42.85714286
"Boise, ID",6 Months,1773,848,1947,186,95,419,109.8138748,225.2688172
"Boise, ID",12 Months,1773,848,974,186,95,209,54.93513818,112.3655914
"Boise, ID",18 Months,1773,848,635,186,95,137,35.81500282,73.65591398
"Boston, MA",6 Months,10239,2548,11180,1157,438,2407,109.1903506,208.0380294
"Boston, MA",12 Months,10239,2548,5590,1157,438,1203,54.59517531,103.9757995
"Boston, MA",18 Months,10239,2548,3646,1157,438,785,35.60894619,67.84788245
"Boulder, CO",6 Months,640,297,731,90,43,154,114.21875,171.1111111
"Boulder, CO",12 Months,640,297,365,90,43,77,57.03125,85.55555556
"Boulder, CO",18 Months,640,297,238,90,43,50,37.1875,55.55555556
"Bradenton, FL",6 Months,822,342,780,104,49,178,94.89051095,171.1538462
"Bradenton, FL",12 Months,822,342,390,104,49,89,47.44525547,85.57692308
"Bradenton, FL",18 Months,822,342,254,104,49,58,30.90024331,55.76923077
"Bridgeport, CT",6 Months,1354,370,1495,132,65,321,110.4135894,243.1818182
"Bridgeport, CT",12 Months,1354,370,748,132,65,160,55.2437223,121.2121212
"Bridgeport, CT",18 Months,1354,370,488,132,65,105,36.04135894,79.54545455
"Bronx, NY",6 Months,4012,807,2989,282,115,629,74.50149551,223.0496454
"Bronx, NY",12 Months,4012,807,1495,282,115,315,37.26321037,111.7021277
"Bronx, NY",18 Months,4012,807,975,282,115,205,24.30209372,72.69503546
"Bryan, TX",6 Months,579,317,625,64,34,130,107.9447323,203.125
"Bryan, TX",12 Months,579,317,313,64,34,65,54.05872193,101.5625
"Bryan, TX",18 Months,579,317,204,64,34,43,35.23316062,67.1875
"Buffalo, NY",6 Months,4713,1228,3059,323,95,666,64.90558031,206.1919505
"Buffalo, NY",12 Months,4713,1228,1530,323,95,333,32.46339911,103.0959752
"Buffalo, NY",18 Months,4713,1228,998,323,95,217,21.1754721,67.18266254
"Burlington, VT",6 Months,1743,587,1456,117,65,314,83.53413655,268.3760684
"Burlington, VT",12 Months,1743,587,728,117,65,157,41.76706827,134.1880342
"Burlington, VT",18 Months,1743,587,475,117,65,102,27.2518646,87.17948718
"Camden, NJ",6 Months,6527,2294,6215,701,293,1357,95.21985598,193.5805991
"Camden, NJ",12 Months,6527,2294,3108,701,293,679,47.61758848,96.86162625
"Camden, NJ",18 Months,6527,2294,2027,701,293,443,31.05561514,63.19543509
"Canton, OH",6 Months,1441,706,1399,209,97,307,97.08535739,146.8899522
"Canton, OH",12 Months,1441,706,700,209,97,154,48.57737682,73.68421053
"Canton, OH",18 Months,1441,706,456,209,97,100,31.64469119,47.84688995
"Cape Girardeau, MO",6 Months,859,398,571,80,43,125,66.47264261,156.25
